Date,SpecimenID,Diameter,Area,MaxStress,MaxLoad,MinLoad,Range,SetPoint,Amplitude,Cycles,freq,LOGcycles,LOGstress
3/8/2017,1,0.29389,0.067835828,72080,4889.6,-4889.6,9779.2,0,4889.6,19294,6,4.285422274,4.857814778
3/8/2017,2,0.29761,0.06956517,42400,2949.6,-2949.6,5899.1,0,2949.6,1009625,21,6.004160096,4.627365857
10/1/2013,4,0.29674,0.069157884,70000,4841.1,-4841.1,9682.1,0,4841.1,27680,25,4.442166086,4.84509804
10/1/2013,5,0.29741,0.069470536,60000,4168.2,-4168.2,8336.5,0,4168.2,640979,30,5.806843801,4.77815125
10/2/2013,7,0.29621,0.068911063,70000,4823.8,-4823.8,9647.5,0,4823.8,24090,20,4.3818368,4.84509804
10/3/2013,8,0.29614,0.068878496,70000,4821.5,-4821.5,9643,0,4821.5,34760,15,4.541079768,4.84509804
10/3/2013,9,0.300245,0.070801276,70000,4956.1,-4956.1,9912.2,0,4956.1,62953,15,4.799016431,4.84509804
10/3/2013,10,0.29868,0.070065109,70000,4904.6,-4904.6,9809.1,0,4904.6,42641,15,4.629827381,4.84509804
10/3/2013,11,0.29842,0.069943179,70000,4896,-4896,9792,0,4896,51634,15,4.71293577,4.84509804
10/4/2013,12,0.30045,0.070897991,70000,4962.9,-4962.9,9925.7,0,4962.9,38217,15,4.582256592,4.84509804
10/4/2013,13,0.30047,0.070907431,70000,4963.5,-4963.5,9927,0,4963.5,33490,15,4.524915148,4.84509804
10/4/2013,14,0.30051,0.070926311,70000,4964.8,-4964.8,9929.7,0,4964.8,41251,15,4.615434481,4.84509804
10/6/2014,15,0.297545,0.069533618,67500,4693.5,-4693.5,9387,0,4693.5,165109,30,5.217770747,4.829303773
,16,0.297895,0.069697298,70000,4878.8,-4878.8,9757.6,0,4878.8,50559,12,4.703798476,4.84509804
,17,0.34115,0.091407171,70000,6398.5,-6398.5,12797,0,6398.5,82267,12,4.91522566,4.84509804
,20,0.34366,0.092757169,70000,6493,-6493,12986,0,6493,37727,10,4.576652272,4.84509804
,21,0.34101,0.091332163,70000,6393.3,-6393.3,12786.5,0,6393.3,65818,10,4.818344681,4.84509804
,22,0.34005,0.090818656,70000,6357.3,-6357.3,12714.6,0,6357.3,54963,10,4.740070429,4.84509804
,24,0.34026,0.090930862,70000,6365.2,-6365.2,12730.3,0,6365.2,42942,10,4.632882268,4.84509804
,25,0.34022,0.090909484,65000,5909.116491,-5909.116491,11818.2,0,5909.1,207222,30,5.316435861,4.812913357
,26,0.34011,0.090850708,57500,5223.915724,-5223.915724,10447.8,0,5223.9,351676,30,5.546142731,4.759667845
,29,0.33927,0.090402498,70000,6328.174875,-6328.174875,12656.3,0,6328.2,66165,10,4.820628317,4.84509804
,30,0.34179,0.091750453,62500,5734.403333,-5734.403333,11468.8,0,5734.4,314667,30,5.4978512,4.795880017
2/19/2013,31,0.29586,0.068748309,75150,5166.4,-5166.435422,10332.9,0,5166.4,17652,5,4.246793919,4.875928985
2/19/2013,32,0.29865,0.070051034,70000,4903.6,-4903.572409,9807.1,0,4903.6,45646,5,4.659402726,4.84509804
2/20/2013,33,0.29645,0.069022776,60000,4141.4,-4141.366578,8282.7,0,4141.4,1086905,20,6.036191587,4.77815125
2/21/2013,34,0.29825,0.069863513,65000,4541.1,-4541.128339,9082.3,0,4541.1,273800,20,5.437433444,4.812913357
2/26/2013,35,0.29624,0.068925022,67500,4652.4,-4652.438977,9304.9,0,4652.4,90562,10,4.956946005,4.829303773
2/26/2013,36,0.29521,0.068446563,62500,4277.9,-4277.910176,8555.8,0,4277.9,557251,20,5.746050857,4.795880017
2/27/2013,37,0.29674,0.069157884,72500,5013.9,-5013.946618,10027.9,0,5013.9,29886,8.4,4.475467792,4.860338007
3/4/2013,38,0.2956,0.068627531,57500,3946.1,-3946.083026,7892.2,0,3946.1,1594572,25,6.202644134,4.759667845
